file,mode,rep,N,species_unique,wall_s,compute_s,conv_in_s,conv_out_s,time_per_N2
one_species.xyz,numpy_only,1,24,1,0.00014366698451340199,0.00014354195445775986,0.0,0.0,2.4942184811354514e-07
one_species.xyz,numpy_only,2,24,1,7.295806426554918e-05,7.287506014108658e-05,0.0,0.0,1.2666330601657845e-07
one_species.xyz,numpy_only,3,24,1,9.104202035814524e-05,9.091699030250311e-05,0.0,0.0,1.5805906312177993e-07
one_species.xyz,torch_mixed,1,24,1,0.0016637080116197467,0.001432916964404285,0.00018483400344848633,3.500026650726795e-06,2.8883819646176157e-06
one_species.xyz,torch_mixed,2,24,1,0.0005947500467300415,0.00048570800572633743,8.01250571385026e-05,2.2921012714505196e-06,1.0325521644618775e-06
one_species.xyz,torch_mixed,3,24,1,0.0006257500499486923,0.0005150000797584653,8.14169179648161e-05,2.459040842950344e-06,1.0863716144942575e-06
one_species.xyz,torch_full,1,24,1,0.0006247920682653785,0.0005175829865038395,0.0,0.0,1.0847084518496154e-06
one_species.xyz,torch_full,2,24,1,0.000705749960616231,0.0005755419842898846,0.0,0.0,1.2252603482920676e-06
one_species.xyz,torch_full,3,24,1,0.0006316669750958681,0.0005207499489188194,0.0,0.0,1.0966440539858822e-06
benzenes.xyz,numpy_only,1,24,2,8.358294144272804e-05,8.337502367794514e-05,0.0,0.0,1.4510927333806953e-07
benzenes.xyz,numpy_only,2,24,2,8.516700472682714e-05,8.483405690640211e-05,0.0,0.0,1.4785938320629714e-07
benzenes.xyz,numpy_only,3,24,2,9.654101449996233e-05,9.62910708039999e-05,0.0,0.0,1.6760592795132348e-07
benzenes.xyz,torch_mixed,1,24,2,0.000742750009521842,0.000620707985945046,9.233294986188412e-05,2.708984538912773e-06,1.2894965443087535e-06
benzenes.xyz,torch_mixed,2,24,2,0.0006959580350667238,0.0005784580716863275,8.5666892118752e-05,2.750079147517681e-06,1.2082604775463956e-06
benzenes.xyz,torch_mixed,3,24,2,0.0006682920502498746,0.0005615829722955823,7.850001566112041e-05,2.1669548004865646e-06,1.1602292539060322e-06
benzenes.xyz,torch_full,1,24,2,0.0007519589271396399,0.0006398329278454185,0.0,0.0,1.305484248506319e-06
benzenes.xyz,torch_full,2,24,2,0.0006748749874532223,0.0005600830772891641,0.0,0.0,1.1716579643285108e-06
benzenes.xyz,torch_full,3,24,2,0.0006710410816594958,0.0005662089679390192,0.0,0.0,1.165001877881069e-06
three_species.xyz,numpy_only,1,24,3,0.0001124159898608923,0.00011212495155632496,0.0,0.0,1.9516664906404912e-07
three_species.xyz,numpy_only,2,24,3,9.85830556601286e-05,9.841704741120338e-05,0.0,0.0,1.7115113829883435e-07
three_species.xyz,numpy_only,3,24,3,0.0002621669555082917,0.00026170804630964994,0.0,0.0,4.5515096442411755e-07
three_species.xyz,torch_mixed,1,24,3,0.0006898329593241215,0.0005793339805677533,7.824995554983616e-05,2.0419247448444366e-06,1.1976266654932665e-06
three_species.xyz,torch_mixed,2,24,3,0.0007174999918788671,0.0006032499950379133,7.858301978558302e-05,2.3330794647336006e-06,1.2456597081230332e-06
three_species.xyz,torch_mixed,3,24,3,0.0007303750608116388,0.0006234589964151382,7.691700011491776e-05,2.9579969123005867e-06,1.2680122583535397e-06
three_species.xyz,torch_full,1,24,3,0.0006928750080987811,0.0005783750675618649,0.0,0.0,1.202908000171495e-06
three_species.xyz,torch_full,2,24,3,0.000709832995198667,0.0005999580025672913,0.0,0.0,1.2323489499976858e-06
three_species.xyz,torch_full,3,24,3,0.000689874985255301,0.0005817500641569495,0.0,0.0,1.197699627179342e-06
four_species.xyz,numpy_only,1,24,4,0.00012983300257474184,0.00012966699432581663,0.0,0.0,2.254045183589268e-07
four_species.xyz,numpy_only,2,24,4,0.00012766604777425528,0.00012733309995383024,0.0,0.0,2.2164244405252651e-07
four_species.xyz,numpy_only,3,24,4,0.00012629094999283552,0.0001261249417439103,0.0,0.0,2.1925512151533945e-07
four_species.xyz,torch_mixed,1,24,4,0.0007770420052111149,0.0006633750163018703,7.60830007493496e-05,2.625049091875553e-06,1.3490312590470744e-06
four_species.xyz,torch_mixed,2,24,4,0.0008210419910028577,0.0007121670059859753,7.866695523262024e-05,2.4579931050539017e-06,1.4254201232688501e-06
four_species.xyz,torch_mixed,3,24,4,0.0007617080118507147,0.0006533329142257571,7.841596379876137e-05,2.791057340800762e-06,1.3224097427963798e-06
four_species.xyz,torch_full,1,24,4,0.000789790996350348,0.0006842500297352672,0.0,0.0,1.3711649242193541e-06
four_species.xyz,torch_full,2,24,4,0.0008039160165935755,0.0006981670157983899,0.0,0.0,1.3956875288082908e-06
four_species.xyz,torch_full,3,24,4,0.0008034579223021865,0.0006887920899316669,0.0,0.0,1.3948922262190738e-06
ellipsoids.xyz,numpy_only,1,2,1,5.2749994210898876e-05,5.258398596197367e-05,0.0,0.0,1.3187498552724719e-05
ellipsoids.xyz,numpy_only,2,2,1,4.283408634364605e-05,4.2584026232361794e-05,0.0,0.0,1.0708521585911512e-05
ellipsoids.xyz,numpy_only,3,2,1,4.470802377909422e-05,4.458311013877392e-05,0.0,0.0,1.1177005944773555e-05
ellipsoids.xyz,torch_mixed,1,2,1,0.0007460410706698895,0.0006321669789031148,8.01669666543603e-05,3.958004526793957e-06,0.00018651026766747236
ellipsoids.xyz,torch_mixed,2,2,1,0.0006167920073494315,0.0005079580005258322,7.916695903986692e-05,3.0830269679427147e-06,0.00015419800183735788
ellipsoids.xyz,torch_mixed,3,2,1,0.0006434581009671092,0.0005293750436976552,8.112506475299597e-05,2.415967173874378e-06,0.0001608645252417773
ellipsoids.xyz,torch_full,1,2,1,0.000651499954983592,0.0005392919993028045,0.0,0.0,0.000162874988745898
ellipsoids.xyz,torch_full,2,2,1,0.0006889170035719872,0.0005692500853911042,0.0,0.0,0.0001722292508929968
ellipsoids.xyz,torch_full,3,2,1,0.000642790924757719,0.0005399159854277968,0.0,0.0,0.00016069773118942976
